,individual_id,generation_index,Distance,Power,Joints,Max parts,Run number
666,235,6,0.593,123.939,6.0,20,0
667,235,7,0.593,123.939,6.0,20,0
668,235,8,0.593,123.939,6.0,20,0
669,235,9,0.593,123.939,6.0,20,0
670,235,10,0.593,123.939,6.0,20,0
671,235,11,0.593,123.939,6.0,20,0
672,235,12,0.593,123.939,6.0,20,0
673,235,13,0.593,123.939,6.0,20,0
674,236,3,0.914,114.097,14.0,20,0
675,236,4,0.914,114.097,14.0,20,0
676,236,5,0.914,114.097,14.0,20,0
677,237,3,0.914,114.097,14.0,20,0
678,237,4,0.914,114.097,14.0,20,0
679,237,5,0.914,114.097,14.0,20,0
680,238,3,0.827,115.254,14.0,20,0
681,238,4,0.827,115.254,14.0,20,0
682,238,5,0.827,115.254,14.0,20,0
683,239,3,0.547,119.03,14.0,20,0
684,239,4,0.547,119.03,14.0,20,0
685,239,5,0.547,119.03,14.0,20,0
686,240,3,0.266,126.851,5.0,20,0
687,240,4,0.266,126.851,5.0,20,0
688,240,5,0.266,126.851,5.0,20,0
689,240,6,0.266,126.851,5.0,20,0
690,241,3,0.928,94.556,14.0,20,0
691,242,3,0.633,117.571,14.0,20,0
692,242,4,0.633,117.571,14.0,20,0
693,242,5,0.633,117.571,14.0,20,0
694,243,3,0.928,94.556,14.0,20,0
695,244,3,0.928,94.556,14.0,20,0
696,245,3,0.796,113.553,14.0,20,0
697,245,4,0.796,113.553,14.0,20,0
698,246,3,0.259,125.7,6.0,20,0
699,246,4,0.259,125.7,6.0,20,0
700,247,3,0.362,121.105,14.0,20,0
701,248,3,0.221,126.497,6.0,20,0
702,248,4,0.221,126.497,6.0,20,0
703,249,3,0.294,122.866,13.0,20,0
704,250,3,0.473,118.561,14.0,20,0
705,251,3,0.294,122.866,13.0,20,0
706,252,3,0.764,113.091,14.0,20,0
707,253,3,0.422,119.262,10.0,20,0
708,254,3,0.297,121.913,14.0,20,0
709,255,3,0.249,125.433,5.0,20,0
710,255,4,0.249,125.433,5.0,20,0
711,256,3,0.437,116.159,14.0,20,0
712,257,3,0.251,122.354,8.0,20,0
713,258,3,0.748,90.18,14.0,20,0
714,259,3,0.637,112.205,14.0,20,0
715,260,3,0.236,124.604,11.0,20,0
716,261,3,0.383,118.062,14.0,20,0
717,262,4,1.165,97.053,14.0,20,0
718,262,5,1.165,97.053,14.0,20,0
719,262,6,1.165,97.053,14.0,20,0
720,262,7,1.165,97.053,14.0,20,0
721,263,4,0.464,125.075,6.0,20,0
722,263,5,0.464,125.075,6.0,20,0
723,263,6,0.464,125.075,6.0,20,0
724,263,7,0.464,125.075,6.0,20,0
725,263,8,0.464,125.075,6.0,20,0
726,264,4,0.307,126.651,6.0,20,0
727,265,4,1.133,98.71,14.0,20,0
728,265,5,1.133,98.71,14.0,20,0
729,265,6,1.133,98.71,14.0,20,0
730,265,7,1.133,98.71,14.0,20,0
731,266,4,1.038,99.206,14.0,20,0
732,266,5,1.038,99.206,14.0,20,0
733,266,6,1.038,99.206,14.0,20,0
734,267,4,0.976,105.659,14.0,20,0
735,267,5,0.976,105.659,14.0,20,0
736,267,6,0.976,105.659,14.0,20,0
737,267,7,0.976,105.659,14.0,20,0
738,268,4,0.283,126.753,10.0,20,0
739,268,5,0.283,126.753,10.0,20,0
740,269,4,1.038,99.206,14.0,20,0
741,269,5,1.038,99.206,14.0,20,0
742,269,6,1.038,99.206,14.0,20,0
743,270,4,0.855,123.527,8.0,20,0
744,270,5,0.855,123.527,8.0,20,0
745,270,6,0.855,123.527,8.0,20,0
746,270,7,0.855,123.527,8.0,20,0
747,270,8,0.855,123.527,8.0,20,0
748,270,9,0.855,123.527,8.0,20,0
749,270,10,0.855,123.527,8.0,20,0
750,270,11,0.855,123.527,8.0,20,0
751,270,12,0.855,123.527,8.0,20,0
752,270,13,0.855,123.527,8.0,20,0
753,270,14,0.855,123.527,8.0,20,0
754,270,15,0.855,123.527,8.0,20,0
755,270,16,0.855,123.527,8.0,20,0
756,270,17,0.855,123.527,8.0,20,0
757,270,18,0.855,123.527,8.0,20,0
758,270,19,0.855,123.527,8.0,20,0
759,270,20,0.855,123.527,8.0,20,0
760,270,21,0.855,123.527,8.0,20,0
761,270,22,0.855,123.527,8.0,20,0
